Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MAR,Morocco,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,114,94
MCO,Monaco,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDA,Moldova,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,90,81
MDG,Madagascar,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,140,137
MDV,Maldives,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,85,79
MEX,Mexico,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,35,53
MHL,Marshall Islands,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,108,106
MIC,Middle income,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKD,"Macedonia, FYR",IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,38,22
MLI,Mali,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,153,146
MLT,Malta,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR,Myanmar,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNA,Middle East & North Africa,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNE,Montenegro,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,66,56
MNG,Mongolia,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,73,86
